"sequence","level","type","identifier","name","datatype","multiplicity","domain_name","definition","module","class_term","id","path","semantic_path","abbreviation_path","label_local","definition_local","element","xpath","binding_scope","value_name","value_role","value_source","default_value","unit_ref_rule","decimals"
"0","0","D","","contextRef","Identifier","1..1","","Default XBRL context reference.","xbrl-gl","Document","DOC-CONTEXT","/DOC-CONTEXT","","","","Default XBRL context reference. May be overridden at runtime.","","","document","contextRef","context","runtime_parameter","now","none",""
"0","0","D","","xbrlRoot","","1..1","","XBRL instance document root.","xbrl-gl","Document","DOC-ROOT","/DOC-ROOT","","","","XBRL instance root element.","xbrli:xbrl","/xbrli:xbrl","document","xbrlRoot","document_root","xbrl_instance","","none",""
"1","0","C","","Invoice","","1..1","","EN 16931 invoice semantic root.","en16931","Invoice","BG-ROOT","/BG-ROOT","$.invoice","invoice","Invoice","Semantic parent group for ADS XBRL GL binding.","gl-cor:accountingEntries","/xbrli:xbrl/gl-cor:accountingEntries","container","Invoice","semantic_group","structured_csv_group","","none",""
"2","1","A","","Invoice Number","Identifier","1..1","","An invoice shall have an invoice number.","en16931","Invoice","BT-1","/BG-ROOT/BT-1","$.invoice.invoiceNumber","invoice.invoiceNumber","Invoice_ID","Unique identifier for each invoice. This ID may need to be created by concatenating fields such as document number, document type, and year to uniquely identify each transaction. The same ID must be used for all tables with invoice data.","gl-cor:documentReference","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:documentReference","fact","Invoice_ID","xbrl_fact","structured_csv_column","","none",""
"2","1","A","","Invoice Number","Identifier","1..1","","An invoice shall have an invoice number.","en16931","Invoice","BT-1","/BG-ROOT/BT-1","$.invoice.invoiceNumber","invoice.invoiceNumber","Invoice_Number","Identification number for an externally generated invoice.","gl-cor:documentNumber","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:documentNumber","fact","Invoice_Number","xbrl_fact","structured_csv_column","","none",""
"3","1","A","","Invoice Issue Date","Date","1..1","","The date when the invoice was issued.","en16931","Invoice","BT-2","/BG-ROOT/BT-2","$.invoice.invoiceIssueDate","invoice.invoiceIssueDate","Invoice_Date","The date of the invoice, regardless of the date the invoice is entered. This is the date from which the due date is calculated based on the invoice terms.","gl-cor:documentDate","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:documentDate","fact","Invoice_Date","xbrl_fact","structured_csv_column","","none",""
"3","1","A","","Invoice Issue Date","Date","1..1","","The date when the invoice was issued.","en16931","Invoice","BT-2","/BG-ROOT/BT-2","$.invoice.invoiceIssueDate","invoice.invoiceIssueDate","Invoice_Fiscal_Year","Fiscal year in which the Invoice_Date occurs.","gl-bus:fiscalYearEnd","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:fiscalYearEnd","fact","Invoice_Fiscal_Year","xbrl_fact","structured_csv_column","","none",""
"3","1","A","","Invoice Issue Date","Date","1..1","","The date when the invoice was issued.","en16931","Invoice","BT-2","/BG-ROOT/BT-2","$.invoice.invoiceIssueDate","invoice.invoiceIssueDate","Invoice_Period","Fiscal period in which the Invoice_Date occurs.","gl-bus:postingCode","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:postingCode","fact","Invoice_Period","xbrl_fact","structured_csv_column","","none",""
"5","1","D","","documentCurrency","Code","1..1","","Default XBRL unit for generated invoice monetary facts.","xbrl-gl","Document","DOC-CURRENCY","/DOC-CURRENCY","$.invoice.documentCurrencyCode","invoice.documentCurrencyCode","Document currency code","Currency used as the default unit for generated invoice monetary facts.","","","document","DocumentCurrencyCode","unit","structured_csv_column","","DocumentCurrencyCode",""
"5","1","A","","Document Currency Code","Code","1..1","","The currency in which all Invoice amounts are given, except for the Total VAT amount in accounting currency.","en16931","Invoice","BT-5","/BG-ROOT/BT-5","$.invoice.documentCurrencyCode","invoice.documentCurrencyCode","Invoice_Amount_Currency","The functional or group currency related to the invoice amount. See ISO 4217 coding.","gl-muc:amountCurrency","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-muc:amountCurrency","fact","Invoice_Amount_Currency","xbrl_fact","structured_csv_column","","none",""
"6","1","D","","taxAccountingCurrency","Code","0..1","","XBRL unit for VAT accounting currency facts.","xbrl-gl","Document","DOC-TAX-CURRENCY","/DOC-TAX-CURRENCY","$.invoice.taxAccountingCurrencyCode","invoice.taxAccountingCurrencyCode","VAT accounting currency code","Currency used for VAT accounting currency facts when such facts are bound.","","","document","TaxAccountingCurrencyCode","unit","structured_csv_column","","TaxAccountingCurrencyCode",""
"9","1","A","","Payment Due Date","Date","0..1","","The date when the payment is due.","en16931","Invoice","BT-9","/BG-ROOT/BT-9","$.invoice.paymentDueDate","invoice.paymentDueDate","Invoice_Due_Date","The date payment is due to the supplier. Not all transactions will have a due date. Aging of a payable is usually calculated based on this date.","gl-cor:maturityDate","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:maturityDate","fact","Invoice_Due_Date","xbrl_fact","structured_csv_column","","none",""
"13","1","A","","Purchase Order Reference","Identifier","0..1","","An identifier of a referenced purchase order, issued by the Buyer.","en16931","Invoice","BT-13","/BG-ROOT/BT-13","$.invoice.purchaseOrderReference","invoice.purchaseOrderReference","Purchase_Order_ID","Unique identifier for each purchase order. Must match Purchase_Order_ID in the Purchase_Orders file. If no purchase order, leave blank.","gl-taf:originatingDocumentNumber","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-taf:originatingDocumentStructure[gl-taf:originatingDocumentType=""order-vendor""]/gl-taf:originatingDocumentNumber","fact","Purchase_Order_ID","xbrl_fact","structured_csv_column","","none",""
"19","1","A","","Buyer Accounting Reference","Text","0..1","","A textual value that specifies where to book the relevant data into the Buyer's financial accounts.","en16931","Invoice","BT-19","/BG-ROOT/BT-19","$.invoice.buyerAccountingReference","invoice.buyerAccountingReference","Business_Unit_Code","Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited. Must match the Business_Unit_Code in the Business_Unit_Listing file.","gl-bus:organizationIdentifier","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationIdentifiers/gl-bus:organizationIdentifier","fact","Business_Unit_Code","xbrl_fact","structured_csv_column","","none",""
"19","1","A","","Buyer Accounting Reference","Text","0..1","","A textual value that specifies where to book the relevant data into the Buyer's financial accounts.","en16931","Invoice","BT-19","/BG-ROOT/BT-19","$.invoice.buyerAccountingReference","invoice.buyerAccountingReference","Segment01","Reserved segment field that can be used for profit center, division, fund, program, branch, project, and so on.","gl-cor:accountSubID","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountSub/gl-cor:accountSubID","fact","Segment01","xbrl_fact","structured_csv_column","","none",""
"20","1","A","","Payment Terms","Text","0..1","","A textual description of the payment terms that apply to the amount due for payment.","en16931","Invoice","BT-20","/BG-ROOT/BT-20","$.invoice.paymentTerms","invoice.paymentTerms","Terms_Discount_Percentage","The discount percentage the supplier may provide if an invoice is paid before a certain number of days.","gl-cor:terms","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:terms","fact","Terms_Discount_Percentage","xbrl_fact","structured_csv_column","","none",""
"51","1","C","","Buyer","","1..1","","Buyer party information.","en16931","Buyer","BG-7","/BG-ROOT/BG-7","$.invoice.buyer","invoice.buyer","Buyer","Semantic parent group for ADS XBRL GL binding.","gl-cor:identifierReference[gl-cor:identifierType=""C""]","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:identifierReference[gl-cor:identifierType=""C""]","container","Buyer","semantic_group","structured_csv_group","","none",""
"51","2","A","","Buyer Identifier","Identifier","0..1","","An identifier of the Buyer.","en16931","Buyer","BT-46","/BG-ROOT/BG-7/BT-46","$.invoice.buyer.buyerIdentifier","invoice.buyer.buyerIdentifier","Customer_Account_ID","Identifier of the customer billed by the generated invoice. Must match the Customer_Master file when available.","gl-cor:identifierCode","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:identifierReference[gl-cor:identifierType=""C""]/gl-cor:identifierCode","fact","Customer_Account_ID","xbrl_fact","structured_csv_column","","none",""
"52","2","A","","Buyer Name","Text","1..1","","The full name of the Buyer.","en16931","Buyer","BT-44","/BG-ROOT/BG-7/BT-44","$.invoice.buyer.buyerName","invoice.buyer.buyerName","Customer_Name","Name of the customer.","gl-cor:identifierDescription","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:identifierReference[gl-cor:identifierType=""C""]/gl-cor:identifierDescription","fact","Customer_Name","xbrl_fact","structured_csv_column","","none",""
"131","1","C","","Document Totals","","1..1","","Invoice monetary totals.","en16931","Document total","BG-22","/BG-ROOT/BG-22","$.invoice.documentTotals","invoice.documentTotals","DocumentTotals","Semantic parent group for ADS XBRL GL binding.","gl-cor:entryDetail","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail","container","DocumentTotals","semantic_group","structured_csv_group","","none",""
"138","2","A","","Invoice Total Amount With VAT","Amount","1..1","","Invoice total amount including VAT.","en16931","Document total","BT-112","/BG-ROOT/BG-22/BT-112","$.invoice.documentTotals.invoiceTotalAmountWithVat","invoice.documentTotals.invoiceTotalAmountWithVat","Invoice_Amount","Transaction monetary amount recorded in the functional or group currency.","gl-cor:amount","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:amount","fact","Invoice_Amount","xbrl_fact","structured_csv_column","","DocumentCurrencyCode",""
"142","1","C","","VAT Breakdown","","1..*","","information about VAT breakdown by different categories, rates and exemption reasons Sum of all taxable amounts subject","en16931","VAT breakdown","BG-23","/BG-ROOT/BG-23","$.invoice.vatBreakdown","invoice.vatBreakdown","VatBreakdown","Semantic parent group for ADS XBRL GL binding.","gl-cor:taxes","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:taxes","container","VatBreakdown","semantic_group","structured_csv_group","","none",""
"144","2","A","","VAT Category Tax Amount","Amount","1..1","","VAT amount for VAT category.","en16931","VAT breakdown","BT-117","/BG-ROOT/BG-23/BT-117","$.invoice.vatBreakdown.vatCategoryTaxAmount","invoice.vatBreakdown.vatCategoryTaxAmount","Tax1_Local","The amount of Tax1_Type included in the transaction. Recorded in local currency.","gl-cor:taxAmount","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:taxes/gl-cor:taxAmount","fact","Tax1_Local","xbrl_fact","structured_csv_column","","DocumentCurrencyCode",""
"145","2","A","","VAT Category Code","Code","1..1","","The VAT rate, represented as","en16931","VAT breakdown","BT-118","/BG-ROOT/BG-23/BT-118","$.invoice.vatBreakdown.vatCategoryCode","invoice.vatBreakdown.vatCategoryCode","Tax1_Type","Code for Tax1 type, such as Sales or VAT. This field should agree with the Regulator_Code field in the Tax_Table.","gl-cor:taxCode","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:taxes/gl-cor:taxCode","fact","Tax1_Type","xbrl_fact","structured_csv_column","","none",""
"147","2","A","","VAT Exemption Reason Text","Text","0..1","","Why the amount is exempted from VAT or why no VAT is being charged.","en16931","VAT breakdown","BT-120","/BG-ROOT/BG-23/BT-120","$.invoice.vatBreakdown.vatExemptionReasonText","invoice.vatBreakdown.vatExemptionReasonText","Tax1_Type_Description","Description of Tax1 type, such as the authority tax is paid to and other information to identify tax.","gl-cor:taxDescription","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:taxes/gl-cor:taxDescription","fact","Tax1_Type_Description","xbrl_fact","structured_csv_column","","none",""
